"","Pclass","Sex","Age","SibSp","Embarked","Survived"
"1",3,2,5,1,3,"NO"
"2",1,1,8,1,1,"YES"
"3",3,1,6,1,3,"YES"
"5",3,2,7,1,3,"NO"
"6",3,2,5,1,2,"NO"
"10",2,1,3,1,1,"YES"
"12",1,1,12,1,3,"YES"
"13",3,2,4,1,3,"NO"
"14",3,2,8,1,3,"NO"
"15",3,1,3,1,3,"NO"
"18",2,2,6,1,3,"YES"
"20",3,1,5,1,1,"YES"
"22",2,2,7,1,3,"YES"
"23",3,1,3,1,2,"YES"
"24",1,2,6,1,3,"YES"
"28",1,2,4,2,3,"NO"
"30",3,2,5,1,3,"NO"
"31",1,2,8,1,1,"NO"
"32",1,1,8,1,1,"YES"
"33",3,1,5,1,2,"YES"
"34",2,2,14,1,3,"NO"
"36",1,2,9,1,3,"NO"
"37",3,2,5,1,1,"YES"
"38",3,2,5,1,3,"NO"
"39",3,1,4,1,3,"NO"
"40",3,1,3,1,1,"YES"
"41",3,1,8,1,3,"NO"
"42",2,1,6,1,3,"NO"
"45",3,1,4,1,2,"YES"
"46",3,2,5,1,3,"NO"
"47",3,2,5,1,2,"NO"
"49",3,2,5,1,1,"NO"
"50",3,1,4,1,3,"NO"
"52",3,2,5,1,3,"NO"
"53",1,1,10,1,1,"YES"
"54",2,1,6,1,3,"YES"
"55",1,2,13,1,1,"NO"
"56",1,2,8,1,3,"YES"
"57",2,1,5,1,3,"YES"
"59",2,1,1,1,3,"YES"
"61",3,2,5,1,1,"NO"
"62",1,2,9,1,3,"NO"
"63",3,2,1,2,3,"NO"
"64",1,2,8,1,1,"NO"
"65",3,2,5,1,1,"YES"
"66",2,1,6,1,3,"YES"
"70",2,2,7,1,3,"NO"
"71",3,1,4,3,3,"NO"
"72",2,2,5,1,3,"NO"
"73",3,2,6,1,1,"NO"
"74",3,2,7,1,3,"YES"
"75",3,2,5,1,3,"NO"
"76",3,2,5,1,3,"NO"
"77",3,2,5,1,3,"NO"
"78",2,2,1,1,3,"YES"
"79",3,1,6,1,3,"YES"
"80",3,2,5,1,3,"NO"
"81",3,2,6,1,3,"YES"
"82",3,1,5,1,2,"YES"
"83",1,2,6,1,3,"NO"
"84",2,1,4,1,3,"YES"
"86",3,2,4,1,3,"NO"
"87",3,2,5,1,3,"NO"
"90",3,2,6,1,3,"NO"
"91",3,2,4,1,3,"NO"
"92",1,2,10,1,3,"NO"
"93",3,2,6,1,3,"NO"
"94",3,2,12,1,3,"NO"
"95",3,2,5,1,3,"NO"
"96",1,2,15,1,1,"NO"
"97",1,2,5,1,1,"YES"
"98",2,1,7,1,3,"YES"
"99",2,2,7,1,3,"NO"
"100",3,1,6,1,3,"NO"
"101",3,2,5,1,3,"NO"
"102",1,2,5,1,3,"NO"
"103",3,2,7,1,3,"NO"
"104",3,2,8,1,3,"NO"
"105",3,2,6,1,3,"NO"
"107",3,2,5,1,3,"YES"
"108",3,2,8,1,3,"NO"
"109",3,1,5,1,2,"YES"
"110",1,2,10,1,3,"NO"
"112",3,2,5,1,3,"NO"
"114",3,1,4,1,1,"NO"
"115",3,2,5,1,3,"NO"
"117",2,2,6,1,3,"NO"
"118",1,2,5,1,1,"NO"
"119",3,1,1,2,3,"NO"
"120",2,2,5,1,3,"NO"
"121",3,2,5,1,3,"NO"
"123",2,1,7,1,3,"YES"
"124",1,2,11,1,3,"NO"
"125",3,2,3,1,1,"YES"
"126",3,2,5,1,2,"NO"
"127",3,2,5,1,3,"YES"
"133",2,1,6,1,3,"YES"
"135",2,2,5,1,1,"NO"
"136",1,1,4,1,3,"YES"
"137",1,2,8,1,3,"NO"
"138",3,2,4,1,3,"NO"
"139",1,2,5,1,1,"NO"
"140",3,1,5,1,1,"NO"
"141",3,1,5,1,3,"YES"
"144",2,2,4,1,3,"NO"
"145",2,2,4,1,3,"NO"
"146",3,2,6,1,3,"YES"
"147",3,1,1,1,3,"NO"
"148",2,2,8,1,3,"NO"
"149",2,2,9,1,3,"NO"
"153",3,2,8,1,3,"NO"
"154",3,2,5,1,3,"NO"
"155",1,2,11,1,1,"NO"
"156",3,1,4,1,2,"YES"
"157",3,2,6,1,3,"NO"
"158",3,2,5,1,3,"NO"
"159",3,2,5,4,3,"NO"
"160",3,2,9,1,3,"NO"
"161",2,1,8,1,3,"YES"
"163",3,2,4,1,3,"NO"
"164",3,2,1,2,3,"NO"
"165",3,2,1,1,3,"YES"
"167",3,1,9,1,3,"NO"
"169",3,2,6,1,3,"NO"
"170",1,2,13,1,3,"NO"
"171",3,2,1,2,2,"NO"
"172",3,1,1,1,3,"YES"
"173",3,2,5,1,3,"NO"
"174",1,2,12,1,1,"NO"
"175",3,2,4,1,3,"NO"
"176",3,2,5,2,3,"NO"
"177",1,1,10,1,1,"NO"
"178",2,2,6,1,3,"NO"
"180",3,1,5,4,3,"NO"
"181",2,2,6,1,1,"NO"
"182",3,2,1,2,3,"NO"
"183",2,2,1,1,3,"YES"
"184",3,1,1,1,3,"YES"
"185",1,2,8,1,3,"NO"
"186",3,1,5,1,2,"YES"
"189",3,2,8,1,3,"NO"
"190",2,1,7,1,3,"YES"
"191",2,2,4,1,3,"NO"
"192",3,1,4,1,3,"YES"
"193",2,2,1,1,3,"YES"
"194",1,1,9,1,1,"YES"
"195",1,1,12,1,1,"YES"
"196",3,2,5,1,2,"NO"
"197",3,2,9,1,3,"NO"
"198",3,1,5,1,2,"YES"
"200",3,2,6,1,3,"NO"
"201",3,2,5,4,3,"NO"
"206",3,2,7,1,3,"NO"
"207",3,2,6,1,1,"YES"
"211",2,1,7,1,3,"YES"
"215",1,1,7,1,1,"YES"
"216",3,1,6,1,3,"YES"
"217",2,2,9,1,3,"NO"
"219",2,2,6,1,3,"NO"
"221",2,2,6,1,3,"NO"
"222",3,2,11,1,3,"NO"
"223",3,2,5,1,3,"NO"
"224",1,2,8,1,3,"YES"
"225",3,2,5,1,3,"NO"
"226",2,2,4,1,3,"YES"
"227",3,2,4,1,3,"NO"
"228",2,2,4,1,3,"NO"
"229",3,1,5,2,3,"NO"
"230",1,1,7,1,3,"YES"
"231",3,2,6,1,3,"NO"
"232",2,2,12,1,3,"NO"
"233",3,1,1,2,3,"YES"
"234",2,2,5,1,3,"NO"
"235",3,1,5,1,3,"NO"
"236",2,2,9,1,3,"NO"
"237",2,1,1,1,3,"YES"
"239",2,2,7,1,3,"NO"
"241",3,1,5,1,2,"YES"
"242",2,2,6,1,3,"NO"
"243",3,2,5,1,3,"NO"
"246",3,1,5,1,3,"NO"
"247",2,1,5,1,3,"YES"
"249",2,2,11,1,3,"NO"
"250",3,2,5,1,3,"NO"
"251",3,1,6,1,3,"NO"
"252",1,2,13,1,3,"NO"
"253",3,2,6,1,3,"NO"
"255",3,1,6,1,1,"YES"
"256",1,1,8,1,1,"YES"
"257",1,1,6,1,3,"YES"
"258",1,1,7,1,1,"YES"
"259",2,1,10,1,3,"YES"
"260",3,2,5,1,2,"NO"
"261",3,2,1,2,3,"YES"
"262",1,2,11,1,3,"NO"
"263",1,2,8,1,3,"NO"
"265",2,2,8,1,3,"NO"
"268",1,1,12,1,3,"YES"
"269",1,1,7,1,3,"YES"
"272",2,1,9,1,3,"YES"
"273",1,2,8,1,1,"NO"
"274",3,1,5,1,2,"YES"
"275",1,1,13,1,3,"YES"
"276",3,1,9,1,3,"NO"
"278",3,2,1,2,2,"NO"
"281",3,2,6,1,3,"NO"
"282",3,2,4,1,3,"NO"
"283",3,2,4,1,3,"YES"
"285",3,2,7,1,1,"NO"
"286",3,2,6,1,3,"YES"
"289",3,1,5,1,2,"YES"
"290",1,1,6,1,3,"YES"
"291",1,1,4,1,1,"YES"
"292",2,2,8,1,1,"NO"
"294",3,2,5,1,3,"NO"
"295",1,2,8,1,1,"NO"
"296",3,2,5,1,1,"NO"
"298",1,2,8,1,3,"YES"
"299",1,1,10,1,1,"YES"
"301",3,2,5,1,2,"YES"
"303",2,1,6,1,2,"YES"
"305",1,2,1,1,3,"YES"
"306",1,1,8,1,1,"YES"
"307",1,1,4,1,1,"YES"
"309",1,1,6,1,1,"YES"
"310",1,1,5,1,1,"YES"
"311",1,1,4,1,1,"YES"
"312",2,1,6,1,3,"NO"
"314",2,2,9,1,3,"NO"
"315",3,1,6,1,3,"YES"
"316",2,1,5,1,3,"YES"
"317",2,2,11,1,3,"NO"
"318",1,1,7,1,3,"YES"
"319",1,1,8,1,1,"YES"
"320",3,2,5,1,3,"NO"
"321",3,2,6,1,3,"NO"
"322",2,1,6,1,2,"YES"
"326",3,2,13,1,3,"NO"
"327",2,1,8,1,3,"YES"
"329",1,1,4,1,1,"YES"
"330",3,1,5,1,2,"YES"
"331",1,2,10,1,3,"NO"
"332",1,2,8,1,3,"NO"
"333",3,2,4,1,3,"NO"
"334",1,1,8,1,3,"YES"
"335",3,2,5,1,3,"NO"
"338",3,2,9,1,3,"YES"
"339",1,2,9,1,3,"NO"
"340",2,2,1,1,3,"YES"
"341",1,1,5,2,3,"YES"
"342",2,2,6,1,3,"NO"
"343",2,2,5,1,3,"NO"
"344",2,2,8,1,3,"NO"
"345",2,1,5,1,3,"YES"
"346",2,1,8,1,3,"YES"
"347",3,1,5,1,3,"YES"
"348",3,2,1,1,3,"YES"
"349",3,2,9,1,3,"NO"
"350",3,2,5,1,3,"NO"
"351",1,2,8,1,3,"NO"
"352",3,2,3,1,1,"NO"
"353",3,2,5,1,3,"NO"
"354",3,2,5,1,1,"NO"
"355",3,2,6,1,3,"NO"
"356",1,1,5,1,3,"YES"
"357",2,1,8,1,3,"NO"
"358",3,1,5,1,2,"YES"
"359",3,1,5,1,2,"YES"
"362",3,1,9,1,1,"NO"
"365",3,2,6,1,3,"NO"
"367",3,1,5,1,1,"YES"
"368",3,1,5,1,2,"YES"
"369",1,1,5,1,1,"YES"
"371",3,2,4,1,3,"NO"
"372",3,2,4,1,3,"NO"
"373",1,2,5,1,1,"NO"
"374",3,1,1,2,3,"NO"
"375",1,1,8,1,1,"YES"
"376",3,1,5,1,3,"YES"
"377",1,2,6,1,1,"NO"
"378",3,2,4,1,1,"NO"
"379",3,2,4,1,3,"NO"
"380",1,1,9,1,1,"YES"
"382",3,2,7,1,3,"NO"
"383",1,1,7,1,3,"YES"
"384",3,2,5,1,3,"NO"
"385",2,2,4,1,3,"NO"
"386",3,2,1,3,3,"NO"
"387",2,1,8,1,3,"YES"
"389",2,1,4,1,1,"YES"
"390",1,2,8,1,3,"YES"
"391",3,2,5,1,3,"YES"
"392",3,2,6,1,3,"NO"
"393",1,1,5,1,1,"YES"
"396",3,1,7,1,3,"NO"
"397",2,2,10,1,3,"NO"
"398",2,2,5,1,3,"NO"
"399",2,1,6,1,3,"YES"
"400",3,2,8,1,3,"YES"
"401",3,2,6,1,3,"NO"
"402",3,1,5,1,3,"NO"
"404",3,1,4,1,3,"NO"
"405",2,2,7,1,3,"NO"
"406",3,2,11,1,3,"NO"
"407",2,2,1,1,3,"YES"
"409",3,1,5,2,3,"NO"
"410",3,2,5,1,3,"NO"
"411",3,2,5,1,2,"NO"
"412",1,1,7,1,2,"YES"
"413",2,2,6,1,3,"NO"
"414",3,2,9,1,3,"YES"
"416",2,1,7,1,3,"YES"
"417",2,1,4,1,3,"YES"
"419",3,1,2,1,3,"NO"
"420",3,2,5,1,1,"NO"
"422",3,2,6,1,3,"NO"
"424",3,2,4,1,3,"NO"
"425",3,2,5,1,3,"NO"
"427",2,1,4,1,3,"YES"
"428",3,2,5,1,2,"NO"
"429",3,2,7,1,3,"YES"
"430",1,2,6,1,3,"YES"
"431",3,1,5,1,3,"YES"
"432",2,1,9,1,3,"YES"
"433",3,2,4,1,3,"NO"
"435",1,1,3,1,3,"YES"
"437",2,1,5,1,3,"YES"
"438",1,2,13,1,3,"NO"
"439",2,2,7,1,3,"NO"
"440",2,1,9,1,3,"YES"
"441",3,2,4,1,3,"NO"
"443",2,1,6,1,3,"YES"
"444",3,2,5,1,3,"YES"
"446",2,1,3,1,3,"YES"
"447",1,2,7,1,3,"YES"
"449",1,2,11,1,3,"YES"
"450",2,2,8,1,3,"NO"
"451",3,2,5,1,3,"NO"
"452",1,2,6,1,1,"NO"
"453",1,2,10,1,1,"YES"
"454",3,2,5,1,3,"NO"
"456",1,2,13,1,3,"NO"
"457",1,1,8,1,3,"YES"
"458",2,1,10,1,3,"YES"
"459",3,2,5,1,2,"NO"
"460",1,2,10,1,3,"YES"
"461",3,2,7,1,3,"NO"
"462",1,2,10,1,3,"NO"
"464",3,2,5,1,3,"NO"
"467",1,2,12,1,3,"NO"
"468",3,2,5,1,2,"NO"
"470",3,2,5,1,3,"NO"
"472",2,1,7,1,3,"YES"
"473",2,1,5,1,1,"YES"
"474",3,1,5,1,3,"NO"
"476",2,2,7,1,3,"NO"
"477",3,2,6,1,3,"NO"
"479",3,1,1,1,3,"YES"
"480",3,2,1,3,3,"NO"
"482",3,2,10,1,3,"NO"
"483",3,1,13,1,3,"YES"
"484",1,2,5,1,1,"YES"
"485",3,1,5,2,3,"NO"
"486",1,1,7,1,3,"YES"
"487",1,2,12,1,1,"NO"
"489",3,2,1,1,3,"YES"
"490",3,2,5,1,3,"NO"
"491",3,2,5,1,3,"NO"
"493",1,2,15,1,1,"NO"
"495",3,2,5,1,1,"NO"
"499",3,2,5,1,3,"NO"
"500",3,2,4,1,3,"NO"
"501",3,1,5,1,2,"NO"
"504",1,1,4,1,3,"YES"
"506",2,1,7,1,3,"YES"
"507",1,2,8,1,3,"YES"
"508",3,2,6,1,3,"NO"
"509",3,2,6,1,3,"YES"
"510",3,2,6,1,2,"YES"
"512",1,2,8,1,3,"YES"
"513",1,1,11,1,1,"YES"
"514",3,2,5,1,3,"NO"
"515",1,2,10,1,3,"NO"
"516",2,1,7,1,3,"YES"
"517",3,2,5,1,2,"NO"
"519",3,2,7,1,3,"NO"
"520",1,1,6,1,3,"YES"
"523",1,1,9,1,1,"YES"
"525",3,2,8,1,2,"NO"
"527",1,2,8,1,3,"NO"
"529",2,2,5,1,3,"NO"
"530",2,1,1,1,3,"YES"
"531",3,2,5,1,1,"NO"
"532",3,2,4,1,1,"NO"
"534",3,1,6,1,3,"NO"
"535",2,1,1,1,3,"YES"
"536",1,2,9,1,3,"NO"
"537",1,1,6,1,1,"YES"
"538",3,2,5,1,3,"NO"
"541",3,1,1,2,3,"NO"
"542",3,1,3,2,3,"NO"
"544",1,2,10,1,1,"NO"
"545",1,2,13,1,3,"NO"
"546",2,1,4,1,3,"YES"
"547",2,2,6,1,1,"YES"
"548",3,2,7,1,3,"NO"
"549",2,2,1,1,3,"YES"
"550",1,2,4,1,1,"YES"
"551",2,2,6,1,3,"NO"
"552",3,2,5,1,2,"NO"
"554",3,1,5,1,3,"YES"
"556",1,1,10,1,1,"YES"
"557",1,2,8,1,1,"NO"
"558",1,1,8,1,3,"YES"
"559",3,1,8,1,3,"YES"
"560",3,2,5,1,2,"NO"
"561",3,2,8,1,3,"NO"
"562",2,2,6,1,3,"NO"
"563",3,2,5,1,3,"NO"
"564",3,1,5,1,3,"NO"
"565",3,2,5,1,3,"NO"
"566",3,2,4,1,3,"NO"
"567",3,1,6,1,3,"NO"
"568",3,2,5,1,1,"NO"
"569",3,2,7,1,3,"YES"
"571",1,1,11,1,3,"YES"
"572",1,2,8,1,3,"YES"
"573",3,1,5,1,2,"YES"
"574",3,2,4,1,3,"NO"
"575",3,2,4,1,3,"NO"
"576",2,1,7,1,3,"YES"
"577",1,1,8,1,3,"YES"
"578",3,1,5,1,1,"NO"
"579",3,2,7,1,3,"YES"
"580",2,1,5,1,3,"YES"
"582",2,2,11,1,3,"NO"
"583",1,2,8,1,1,"NO"
"584",3,2,5,1,1,"NO"
"585",1,1,4,1,3,"YES"
"586",2,2,10,1,3,"NO"
"587",1,2,12,1,1,"YES"
"589",3,2,5,1,3,"NO"
"590",3,2,7,1,3,"NO"
"591",1,1,11,1,1,"YES"
"592",3,2,10,1,3,"NO"
"594",2,2,8,1,3,"NO"
"595",3,2,8,1,3,"NO"
"596",2,1,6,1,3,"YES"
"597",3,2,10,1,3,"NO"
"598",3,2,5,1,1,"NO"
"599",1,2,10,1,1,"YES"
"600",2,1,5,1,3,"YES"
"601",3,2,5,1,3,"NO"
"602",1,2,8,1,3,"NO"
"603",3,2,9,1,3,"NO"
"604",1,2,7,1,1,"YES"
"605",3,2,8,1,3,"NO"
"606",3,2,6,1,3,"NO"
"607",1,2,6,1,3,"YES"
"608",2,1,5,1,1,"YES"
"609",1,1,8,1,3,"YES"
"610",3,1,8,1,3,"NO"
"611",3,2,5,1,3,"NO"
"612",3,1,5,1,2,"YES"
"613",3,2,5,1,2,"NO"
"614",3,2,7,1,3,"NO"
"615",2,1,5,1,3,"YES"
"618",2,1,1,1,3,"YES"
"619",2,2,6,1,3,"NO"
"620",3,2,6,1,1,"NO"
"621",1,2,9,1,3,"YES"
"622",3,2,4,1,1,"YES"
"623",3,2,5,1,3,"NO"
"624",3,2,5,1,3,"NO"
"625",1,2,13,1,3,"NO"
"626",2,2,12,1,2,"NO"
"627",1,1,5,1,3,"YES"
"629",3,2,5,1,2,"NO"
"631",3,2,11,1,3,"NO"
"632",1,2,7,1,1,"YES"
"633",1,2,8,1,3,"NO"
"634",3,1,1,2,3,"NO"
"637",2,2,7,1,3,"NO"
"640",3,2,4,1,3,"NO"
"642",3,1,1,2,3,"NO"
"643",3,2,5,1,3,"YES"
"649",3,1,5,1,3,"YES"
"650",3,2,5,1,3,"NO"
"651",2,1,4,1,3,"YES"
"652",3,2,5,1,3,"NO"
"654",3,1,4,1,2,"NO"
"656",3,2,5,1,3,"NO"
"657",3,1,7,1,2,"NO"
"658",2,2,5,1,3,"NO"
"659",1,2,12,1,1,"NO"
"660",1,2,10,1,3,"YES"
"662",1,2,10,1,3,"NO"
"663",3,2,8,1,3,"NO"
"664",3,2,4,1,3,"YES"
"665",2,2,7,1,3,"NO"
"667",3,2,5,1,3,"NO"
"668",3,2,9,1,3,"NO"
"670",2,1,8,1,3,"YES"
"673",2,2,7,1,3,"YES"
"675",3,2,4,1,3,"NO"
"676",3,2,5,1,3,"NO"
"678",3,1,9,1,3,"NO"
"679",1,2,8,1,1,"YES"
"680",3,1,5,1,2,"NO"
"681",1,2,6,1,1,"YES"
"682",3,2,4,1,3,"NO"
"683",3,2,3,3,3,"NO"
"684",2,2,12,1,3,"NO"
"685",2,2,5,1,1,"NO"
"687",3,2,4,1,3,"NO"
"689",1,1,3,1,3,"YES"
"690",1,2,7,1,3,"YES"
"691",3,1,1,1,1,"YES"
"693",3,2,5,1,1,"NO"
"694",1,2,12,1,3,"NO"
"695",2,2,11,1,3,"NO"
"696",3,2,9,1,3,"NO"
"697",3,1,5,1,2,"YES"
"698",1,2,10,1,1,"NO"
"699",3,2,9,1,3,"NO"
"701",1,2,7,1,3,"YES"
"703",3,2,5,1,2,"NO"
"704",3,2,6,1,3,"NO"
"705",2,2,8,1,3,"NO"
"706",2,1,9,1,3,"YES"
"709",3,2,5,1,1,"YES"
"710",1,1,5,1,1,"YES"
"711",1,2,8,1,3,"NO"
"712",1,2,10,1,3,"YES"
"713",3,2,6,1,3,"NO"
"714",2,2,11,1,3,"NO"
"715",3,2,4,1,3,"NO"
"717",2,1,6,1,3,"YES"
"718",3,2,5,1,2,"NO"
"719",3,2,7,1,3,"NO"
"720",2,1,1,1,3,"YES"
"721",3,2,4,1,3,"NO"
"722",2,2,7,1,3,"NO"
"723",2,2,10,1,3,"NO"
"724",1,2,6,1,3,"YES"
"725",3,2,4,1,3,"NO"
"726",2,1,6,2,3,"YES"
"727",3,1,5,1,2,"YES"
"728",2,2,5,1,3,"NO"
"729",3,1,5,1,3,"NO"
"730",1,1,6,1,3,"YES"
"731",3,2,3,1,1,"NO"
"732",2,2,6,1,3,"NO"
"733",2,2,5,1,3,"NO"
"734",2,2,5,1,3,"NO"
"735",3,2,6,1,3,"NO"
"737",1,2,7,1,1,"YES"
"738",3,2,5,1,3,"NO"
"739",3,2,5,1,3,"NO"
"740",1,2,8,1,3,"YES"
"742",1,1,5,1,1,"YES"
"743",3,2,5,1,3,"NO"
"744",3,2,7,1,3,"YES"
"746",3,2,4,1,3,"NO"
"747",2,1,6,1,3,"YES"
"748",1,2,4,1,3,"NO"
"749",3,2,7,1,2,"NO"
"750",2,1,1,1,3,"YES"
"751",3,2,1,1,3,"YES"
"752",3,2,7,1,3,"NO"
"753",3,2,5,1,3,"NO"
"754",2,1,10,1,3,"YES"
"757",2,2,4,1,3,"NO"
"758",3,2,7,1,3,"NO"
"759",1,1,7,1,3,"YES"
"761",3,2,9,1,3,"NO"
"762",3,2,4,1,1,"YES"
"763",1,1,8,1,3,"YES"
"764",3,2,4,1,3,"NO"
"765",1,1,11,1,3,"YES"
"766",1,2,8,1,1,"NO"
"767",3,1,6,1,2,"NO"
"769",3,2,7,1,3,"NO"
"770",3,2,5,1,3,"NO"
"775",3,2,4,1,3,"NO"
"776",3,2,5,1,2,"NO"
"777",3,1,1,1,3,"YES"
"778",3,2,5,1,2,"NO"
"780",3,1,3,1,1,"YES"
"781",1,1,4,1,3,"YES"
"782",1,2,6,1,3,"NO"
"783",3,2,5,1,3,"NO"
"784",3,2,5,1,3,"NO"
"785",3,2,5,1,3,"NO"
"786",3,1,4,1,3,"YES"
"787",3,2,1,2,2,"NO"
"788",3,2,1,1,3,"YES"
"789",1,2,10,1,1,"NO"
"791",2,2,4,1,3,"NO"
"792",3,1,5,4,3,"NO"
"794",3,2,5,1,3,"NO"
"795",2,2,8,1,3,"NO"
"798",3,2,6,1,1,"NO"
"799",3,1,6,1,3,"NO"
"800",2,2,7,1,3,"NO"
"801",2,1,7,1,3,"YES"
"803",3,2,1,1,1,"YES"
"804",3,2,6,1,3,"YES"
"805",3,2,7,1,3,"NO"
"806",1,2,8,1,3,"NO"
"808",2,2,8,1,3,"NO"
"810",3,2,6,1,3,"NO"
"811",3,2,8,1,3,"NO"
"812",2,2,7,1,3,"NO"
"813",3,1,1,2,3,"NO"
"814",3,2,6,1,3,"NO"
"815",1,2,8,1,3,"NO"
"816",3,1,5,1,3,"NO"
"817",2,2,7,1,1,"NO"
"820",1,1,11,1,3,"YES"
"821",3,2,6,1,3,"YES"
"822",1,2,8,1,3,"NO"
"823",3,1,6,1,3,"YES"
"824",3,2,1,2,3,"NO"
"825",3,2,5,1,2,"NO"
"826",3,2,5,1,3,"NO"
"827",2,2,1,1,1,"YES"
"828",3,2,5,1,2,"YES"
"829",3,1,3,1,1,"YES"
"831",3,2,5,1,1,"NO"
"832",3,2,5,1,3,"NO"
"833",3,2,4,1,3,"NO"
"834",1,1,8,1,1,"YES"
"837",3,2,7,1,3,"YES"
"838",1,2,8,1,1,"YES"
"840",2,2,4,1,3,"NO"
"841",1,1,6,1,1,"YES"
"844",3,2,9,1,3,"NO"
"848",1,1,8,1,1,"YES"
"849",3,2,1,2,3,"NO"
"851",3,1,1,1,1,"NO"
"852",1,1,4,1,3,"YES"
"856",1,2,11,1,3,"YES"
"858",3,2,5,1,1,"NO"
"859",3,2,9,1,3,"NO"
"860",2,2,5,1,3,"NO"
"861",1,1,10,1,3,"YES"
"863",2,2,5,1,3,"NO"
"864",2,1,9,1,3,"YES"
"866",1,2,7,1,3,"NO"
"867",3,2,5,1,3,"NO"
"868",3,2,1,1,3,"YES"
"869",3,2,6,1,3,"NO"
"870",1,1,10,1,3,"YES"
"871",1,2,7,1,3,"NO"
"875",3,2,4,1,3,"NO"
"877",3,2,5,1,3,"NO"
"878",1,1,12,1,1,"YES"
"879",2,1,5,1,3,"YES"
"880",3,2,7,1,3,"NO"
"882",2,2,6,1,3,"NO"
"883",3,2,5,1,3,"NO"
"884",3,1,8,1,2,"NO"
"885",2,2,6,1,3,"NO"
"886",1,1,4,1,3,"YES"
"888",1,2,6,1,1,"YES"
"889",3,2,7,1,2,"NO"
